location,location_type,total_jobs_added_2008_2018,jobs_per_1_000_residents_2008_2018,total_building_permits_2008_2018,permits_per_1_000_residents_2008_2018,jobs_per_permit_2008_2018,multi_family_permit_share_1990_2005,multi_family_permit_share_2006_2018,average_size_of_multi_family_properties_1990_2005,average_size_of_multi_family_properties_2006_2018
"Macon County, IL",County,-3227,-3,668,0.6,-4.8,25.4%,26.4%,8.3,5.3
"Marion County, IL",County,-759,-2,52,0.1,-14.6,29.5%,40.6%,4.4,2.1
"Morgan County, IL",County,-1510,-4.4,111,0.3,-13.6,37.1%,56.4%,5.6,4.6
"Ogle County, IL",County,-1620,-3.1,501,1,-3.2,9.7%,11.8%,4.2,4.2
"Peoria County, IL",County,640,0.3,2061,1.1,0.3,27.2%,22.4%,6.4,7.2
"Sangamon County, IL",County,586,0.3,3739,1.9,0.2,26.3%,34.4%,3.1,3.8
"Stephenson County, IL",County,-1828,-4,165,0.4,-11.1,21.8%,12.9%,4.8,2.8
"Tazewell County, IL",County,-13878,-10.3,2537,1.9,-5.5,13.4%,13.8%,3.1,5.3
"Vermilion County, IL",County,-3143,-4,264,0.3,-11.9,41.5%,43.6%,7.8,11.1
"Whiteside County, IL",County,113,0.2,475,0.8,0.2,23.9%,14.1%,3.6,3.3
"Will County, IL",County,49178,7.2,10916,1.6,4.5,6.2%,11.0%,5,10.4
"Williamson County, IL",County,2058,3,1528,2.3,1.3,28.3%,32.5%,3.2,3.5
"Winnebago County, IL",County,-9049,-3.1,1575,0.5,-5.7,26.8%,15.4%,3.9,2.9
"Woodford County, IL",County,-2524,-6.5,800,2.1,-3.2,14.4%,12.0%,2.4,2.5
"Adams County, IN",County,995,2.8,598,1.7,1.7,22.6%,16.6%,6.3,9.6
"Allen County, IN",County,7327,2,10986,3,0.7,17.3%,22.8%,7.4,8
"Bartholomew County, IN",County,6737,8.3,2036,2.5,3.3,10.8%,0.0%,10,NA
"Boone County, IN",County,10013,15.9,5329,8.5,1.9,14.1%,22.7%,8.5,6.3
"Cass County, IN",County,-596,-1.6,137,0.4,-4.4,1.4%,0.0%,2,NA
"Clay County, IN",County,903,3.4,139,0.5,6.5,14.6%,43.9%,2.7,7.3
"Clinton County, IN",County,-80,-0.2,326,1,-0.2,8.0%,18.4%,4.1,12.1
"Daviess County, IN",County,871,2.7,190,0.6,4.6,18.1%,30.5%,4.5,5.3
"Decatur County, IN",County,1833,6.9,496,1.9,3.7,32.3%,18.9%,7.3,4.1
"De Kalb County, IN",County,2355,5.5,930,2.2,2.5,12.9%,9.0%,5.6,2.5
"Delaware County, IN",County,-1271,-1.1,1112,1,-1.1,22.2%,40.5%,6,11.9
"Dubois County, IN",County,871,2.1,885,2.1,1,13.0%,15.7%,2.4,3.3
"Elkhart County, IN",County,23236,11.5,2933,1.4,7.9,19.3%,11.6%,7.9,9.1
"Grant County, IN",County,409,0.6,532,0.8,0.8,20.0%,10.9%,7.5,7.3
"Hamilton County, IN",County,29650,9.6,28198,9.1,1.1,11.7%,30.1%,7.7,11.9
"Hancock County, IN",County,4314,5.9,3606,5,1.2,11.2%,14.3%,4.5,7
"Hendricks County, IN",County,24012,15.2,9690,6.1,2.5,16.1%,21.3%,5.8,8.9
"Henry County, IN",County,315,0.6,277,0.6,1.1,20.3%,14.7%,8.1,7.3
"Howard County, IN",County,1052,1.3,1761,2.1,0.6,27.8%,44.5%,4.1,6.9
"Huntington County, IN",County,-1171,-3.2,612,1.7,-1.9,7.4%,12.8%,5.9,3.9
"Jackson County, IN",County,1940,4.4,1502,3.4,1.3,23.9%,48.4%,5.9,6.6
"Jefferson County, IN",County,-376,-1.2,405,1.3,-0.9,11.2%,1.6%,3.5,2
"Jennings County, IN",County,-178,-0.6,422,1.5,-0.4,10.7%,0.9%,3.5,2
"Johnson County, IN",County,12063,8.1,6955,4.7,1.7,14.0%,16.6%,6.5,7.4
"Knox County, IN",County,817,2.2,363,1,2.3,23.4%,18.8%,3.2,3.5
"Kosciusko County, IN",County,3353,4.3,2513,3.2,1.3,14.7%,31.2%,6.3,9.5
"La Porte County, IN",County,-4010,-3.6,1617,1.5,-2.5,10.1%,19.1%,6,8.4
"Lawrence County, IN",County,339,0.7,170,0.4,2,40.8%,35.0%,3.4,4.6
"Madison County, IN",County,183,0.1,951,0.7,0.2,17.6%,8.4%,5.2,3.8
"Marion County, IN",County,20651,2.2,14660,1.6,1.4,28.1%,44.0%,8,11.5
"Marshall County, IN",County,-460,-1,854,1.8,-0.5,13.5%,7.6%,2.8,3.8
"Miami County, IN",County,-800,-2.2,148,0.4,-5.4,12.2%,0.0%,5.9,NA
"Monroe County, IN",County,1179,0.8,3983,2.8,0.3,32.8%,43.2%,4.4,7.2
"Montgomery County, IN",County,-433,-1.1,445,1.2,-1,24.6%,3.8%,4.8,2.3
"Morgan County, IN",County,953,1.4,1166,1.7,0.8,7.0%,8.0%,3,3
"Noble County, IN",County,714,1.5,912,1.9,0.8,11.9%,2.6%,5.3,2
"Posey County, IN",County,-114,-0.4,531,2.1,-0.2,3.0%,7.2%,2.3,52
"Putnam County, IN",County,1401,3.7,743,2,1.9,6.7%,20.1%,2.9,5.3
"St. Joseph County, IN",County,1140,0.4,4595,1.7,0.2,26.4%,49.6%,11.7,14.7
"Shelby County, IN",County,1850,4.2,770,1.7,2.4,24.7%,29.4%,5.2,4.4
"Steuben County, IN",County,1980,5.7,1123,3.3,1.8,12.1%,1.6%,5.3,2
"Tippecanoe County, IN",County,8797,4.7,8439,4.5,1,37.2%,39.1%,6.8,16.4
"Vanderburgh County, IN",County,2021,1.1,3048,1.7,0.7,24.5%,17.8%,10.5,4.4
"Vigo County, IN",County,-3242,-3,2307,2.1,-1.4,22.9%,60.3%,5.3,8.1
"Wabash County, IN",County,-376,-1.2,256,0.8,-1.5,14.6%,2.1%,5.3,2
"Warrick County, IN",County,1889,3.1,2810,4.6,0.7,13.2%,29.5%,6,8.2
"Wayne County, IN",County,-1611,-2.4,794,1.2,-2,10.3%,42.6%,4.1,7.4
"Wells County, IN",County,-106,-0.4,480,1.7,-0.2,13.9%,18.4%,4.7,2.2
"Whitley County, IN",County,724,2.2,1053,3.1,0.7,10.9%,14.5%,5.4,6.4
"Benton County, IA",County,332,1.3,268,1,1.2,9.3%,8.5%,3.1,2.2
"Black Hawk County, IA",County,1719,1.3,3560,2.7,0.5,37.3%,24.4%,7.7,9.7
"Boone County, IA",County,-455,-1.7,530,2,-0.9,32.8%,16.3%,5.6,5.1
"Cerro Gordo County, IA",County,-906,-2.1,629,1.5,-1.4,25.9%,29.4%,5.1,7.2
"Clinton County, IA",County,-3456,-7.3,903,1.9,-3.8,15.5%,36.5%,7.8,6.7
"Dallas County, IA",County,14513,17.9,6221,7.7,2.3,22.1%,27.6%,6.6,11.1
"Des Moines County, IA",County,614,1.5,339,0.9,1.8,43.5%,12.8%,7.2,3.4
"Dubuque County, IA",County,5050,5.2,3589,3.7,1.4,29.0%,20.8%,5.4,6.1
"Jasper County, IA",County,373,1,458,1.2,0.8,38.4%,9.3%,5.4,2.3
"Johnson County, IA",County,8626,6,10561,7.3,0.8,39.9%,46.4%,8.3,12.8
"Lee County, IA",County,-1210,-3.5,294,0.8,-4.1,33.9%,61.3%,5,8
"Linn County, IA",County,4738,2.2,8766,4,0.5,40.8%,32.4%,6.2,4.2
"Marshall County, IA",County,-1835,-4.5,354,0.9,-5.2,36.2%,32.7%,4.9,3.7
"Muscatine County, IA",County,-71,-0.2,498,1.2,-0.1,24.5%,39.6%,6.8,6.1
"Plymouth County, IA",County,1220,4.9,586,2.3,2.1,12.3%,16.3%,4,12
"Polk County, IA",County,26831,5.7,35217,7.5,0.8,24.5%,35.6%,11.1,22.9
"Scott County, IA",County,1657,1,4576,2.7,0.4,23.1%,26.7%,9,13.1
"Story County, IA",County,3669,3.8,5060,5.3,0.7,55.1%,60.3%,12.5,16.3
"Wapello County, IA",County,-431,-1.2,281,0.8,-1.5,30.2%,33.7%,8,12.8
"Warren County, IA",County,2064,4.2,2843,5.8,0.7,23.6%,19.2%,8,7.7
"Webster County, IA",County,-1437,-3.9,266,0.7,-5.4,25.2%,4.1%,5.5,3
"Woodbury County, IA",County,-673,-0.7,1611,1.6,-0.4,40.0%,27.8%,10.1,4.8
"Barton County, KS",County,-1319,-4.9,269,1,-4.9,17.0%,36.4%,4.7,8.3
"Butler County, KS",County,431,0.7,1570,2.4,0.3,12.4%,8.9%,4.9,2.6
"Cowley County, KS",County,-483,-1.4,461,1.3,-1,32.3%,24.6%,6.1,5.1
"Crawford County, KS",County,-815,-2.1,741,1.9,-1.1,30.6%,33.3%,4.2,5.1
"Douglas County, KS",County,2148,1.8,5890,5,0.4,44.8%,57.1%,3.5,14.7
"Ellis County, KS",County,-156,-0.5,673,2.3,-0.2,37.9%,34.4%,6.2,2.8
"Finney County, KS",County,1561,4.2,462,1.2,3.4,40.3%,43.1%,4.5,4.5
"Ford County, KS",County,156,0.5,479,1.4,0.3,30.7%,20.2%,4.3,3.4
"Franklin County, KS",County,-332,-1.3,350,1.4,-0.9,23.3%,10.3%,4,2.1
"Geary County, KS",County,-1607,-4.5,1314,3.7,-1.2,20.8%,41.2%,4.3,8.6
"Harvey County, KS",County,-502,-1.4,632,1.8,-0.8,17.1%,7.0%,4.1,3.4
"Lyon County, KS",County,-1204,-3.6,440,1.3,-2.7,55.0%,43.9%,6.5,5.7
"McPherson County, KS",County,754,2.6,930,3.2,0.8,17.9%,34.5%,3.1,4.9
"Montgomery County, KS",County,-2555,-7.6,149,0.4,-17.1,42.3%,5.3%,8.3,3
"Reno County, KS",County,-2185,-3.4,765,1.2,-2.9,27.6%,36.7%,3.9,6.5
"Riley County, KS",County,-202,-0.3,3764,5,-0.1,49.1%,49.5%,6,10.8
"Saline County, KS",County,-692,-1.3,745,1.3,-0.9,26.9%,8.8%,8.5,4.5
"Sedgwick County, KS",County,-9992,-2,14808,2.9,-0.7,14.5%,32.2%,5.3,4.6
"Shawnee County, KS",County,1020,0.6,2463,1.4,0.4,20.9%,19.8%,4.3,6
"Barren County, KY",County,-487,-1.1,1090,2.5,-0.4,23.6%,10.9%,2.7,3.5
"Bell County, KY",County,-1342,-4.9,232,0.8,-5.8,14.4%,2.6%,3.3,8
"Boyle County, KY",County,-873,-2.9,462,1.6,-1.9,26.1%,36.9%,3.4,4
"Bullitt County, KY",County,8946,11.4,3453,4.4,2.6,13.6%,12.2%,6.1,7.6
"Calloway County, KY",County,537,1.4,956,2.5,0.6,79.9%,71.4%,4.2,5
"Clark County, KY",County,1107,3.1,579,1.6,1.9,3.3%,19.1%,3.3,4.3
"Daviess County, KY",County,2766,2.8,3052,3.1,0.9,14.7%,22.1%,4.9,5.7
"Fayette County, KY",County,16702,5.3,12447,4,1.3,18.1%,42.9%,8.1,18.4
"Franklin County, KY",County,1040,2.1,851,1.7,1.2,20.1%,21.5%,4.5,5.7
"Graves County, KY",County,27,0.1,27,0.1,1,30.1%,4.5%,6.4,2
"Hardin County, KY",County,4616,4.3,4822,4.5,1,21.5%,36.6%,4.3,6.2
"Hopkins County, KY",County,-1497,-3.3,677,1.5,-2.2,10.7%,7.7%,2.1,2
"Jefferson County, KY",County,41408,5.4,21167,2.8,2,21.8%,51.1%,10.7,14.5
"Jessamine County, KY",County,1030,2,1818,3.5,0.6,16.5%,5.2%,3,3.7
"Knox County, KY",County,-1262,-4,12,0,-105.2,42.3%,0.0%,6.5,NA
"Laurel County, KY",County,2693,4.5,63,0.1,42.7,52.9%,33.6%,3.5,2.3
"McCracken County, KY",County,65,0.1,1837,2.8,0,17.5%,31.3%,3.8,7
"Madison County, KY",County,4013,4.5,2456,2.8,1.6,56.5%,37.4%,4,3.7
"Meade County, KY",County,-50,-0.2,991,3.5,-0.1,25.8%,17.9%,2.8,3.8
"Montgomery County, KY",County,-163,-0.6,534,1.9,-0.3,25.1%,26.0%,2.3,4.1
"Nelson County, KY",County,1650,3.7,1650,3.7,1,7.8%,8.9%,3.4,4.2
"Oldham County, KY",County,2161,3.3,2158,3.3,1,8.6%,2.4%,6.3,3.3
"Pulaski County, KY",County,198,0.3,192,0.3,1,53.7%,16.7%,5.1,2.5
"Scott County, KY",County,4278,8.2,4292,8.2,1,10.8%,21.5%,5.7,7.3
"Shelby County, KY",County,3414,7.4,2242,4.9,1.5,18.5%,20.7%,5.1,9.7
"Taylor County, KY",County,1000,3.9,289,1.1,3.5,59.3%,39.6%,3,3.7
"Warren County, KY",County,7622,6.2,9731,7.9,0.8,28.7%,45.9%,5.6,7.8
"Whitley County, KY",County,-164,-0.5,174,0.5,-0.9,45.6%,37.9%,3.4,2.6
"Woodford County, KY",County,-1272,-4.9,871,3.4,-1.5,10.9%,5.3%,3.6,7.9
"Acadia Parish, LA",County,-1607,-2.6,1243,2,-1.3,6.8%,12.0%,7.7,4.1
"Ascension Parish, LA",County,10509,8.8,8612,7.2,1.2,2.6%,0.0%,7.5,NA
"Beauregard Parish, LA",County,-613,-1.7,696,1.9,-0.9,21.1%,0.0%,3.2,NA
"Bossier Parish, LA",County,853,0.7,9512,7.6,0.1,14.7%,20.5%,8,17.2
"Caddo Parish, LA",County,-12268,-4.9,3061,1.2,-4,11.4%,4.0%,6.7,3.2
"Calcasieu Parish, LA",County,13966,7,11687,5.9,1.2,21.0%,34.8%,5.5,7.6
"De Soto Parish, LA",County,735,2.7,628,2.3,1.2,61.5%,19.0%,5.3,12
"East Baton Rouge Parish, LA",County,5462,1.2,12314,2.8,0.4,26.7%,28.9%,12.2,13.6
"Iberia Parish, LA",County,-8425,-11.5,1014,1.4,-8.3,4.3%,20.7%,9,4.8
"Iberville Parish, LA",County,2418,7.3,882,2.7,2.7,5.8%,2.2%,11,3.1
"Jefferson Parish, LA",County,-9500,-2.2,3726,0.9,-2.5,19.0%,8.7%,14.2,5.9
"Lafayette Parish, LA",County,-5418,-2.3,12156,5.1,-0.4,8.5%,12.9%,8.9,10.9
"Lafourche Parish, LA",County,-4217,-4.3,3368,3.4,-1.3,6.5%,14.9%,5.7,5.8
"Lincoln Parish, LA",County,545,1.1,899,1.9,0.6,47.1%,30.7%,4.7,6.6
"Livingston Parish, LA",County,5048,3.7,8050,5.9,0.6,2.2%,5.7%,4.3,4.3
"Morehouse Parish, LA",County,-833,-3.2,264,1,-3.2,28.4%,22.2%,2.7,3.5
"Natchitoches Parish, LA",County,-527,-1.3,585,1.5,-0.9,31.9%,12.4%,4.6,2.4
"Orleans Parish, LA",County,24857,6.4,9689,2.5,2.6,37.5%,49.6%,5.1,5.5
"Ouachita Parish, LA",County,-57,0,5268,3.4,0,15.5%,20.1%,4.8,3.4
"Rapides Parish, LA",County,-5980,-4.5,3275,2.5,-1.8,11.1%,12.1%,15.4,3.2
"St. Bernard Parish, LA",County,570,1.3,653,1.4,0.9,23.5%,0.9%,3.3,2.5
"St. Charles Parish, LA",County,-681,-1.3,1183,2.2,-0.6,1.3%,1.8%,2.1,3.3
"St. Landry Parish, LA",County,-1052,-1.3,1335,1.6,-0.8,11.7%,6.6%,6.4,3.4
"St. Martin Parish, LA",County,1026,1.9,1565,2.9,0.7,0.4%,1.1%,2.8,4.8
"St. Mary Parish, LA",County,-6550,-12.5,473,0.9,-13.8,8.3%,1.9%,3.5,2.3
"St. Tammany Parish, LA",County,14218,5.7,10947,4.4,1.3,9.2%,6.8%,7.5,7.5
"Tangipahoa Parish, LA",County,1062,0.8,7414,5.8,0.1,15.8%,11.9%,3,4.8
"Terrebonne Parish, LA",County,-7994,-7.1,2036,1.8,-3.9,4.4%,1.9%,9.6,3.4
"Vermilion Parish, LA",County,-1171,-2,1579,2.6,-0.7,0.9%,16.4%,13.5,10.6
"Vernon Parish, LA",County,-1922,-3.7,602,1.2,-3.2,12.1%,6.9%,8,3.8
"Washington Parish, LA",County,-408,-0.9,708,1.5,-0.6,7.2%,3.4%,5.2,4
"Webster Parish, LA",County,-1887,-4.7,496,1.2,-3.8,28.4%,12.5%,6.8,2
"West Baton Rouge Parish, LA",County,626,2.5,2440,9.6,0.3,1.4%,18.7%,2.2,25.8
"Androscoggin County, ME",County,220,0.2,1675,1.6,0.1,4.6%,15.0%,4,5.9
"Cumberland County, ME",County,11470,4,9650,3.3,1.2,11.3%,21.4%,5.1,7.4
"Kennebec County, ME",County,777,0.6,2828,2.3,0.3,10.6%,27.6%,5.1,6.9
"Penobscot County, ME",County,-1464,-1,3193,2.1,-0.5,13.8%,25.1%,5.6,6.1
"Sagadahoc County, ME",County,-137,-0.4,954,2.7,-0.1,4.2%,3.3%,3.4,4.2
"York County, ME",County,4936,2.5,7397,3.7,0.7,8.5%,14.7%,3.9,4.9
"Allegany County, MD",County,-419,-0.6,580,0.8,-0.7,17.0%,24.9%,8,9.1
"Anne Arundel County, MD",County,39971,7.1,20635,3.7,1.9,23.4%,33.1%,14.2,31.1
"Baltimore County, MD",County,2773,0.3,11627,1.4,0.2,27.9%,35.2%,19.6,31.3
"Carroll County, MD",County,1144,0.7,2981,1.8,0.4,5.8%,9.3%,7.9,7.6
"Dorchester County, MD",County,-553,-1.7,657,2,-0.8,14.1%,34.1%,12,14.8
"Harford County, MD",County,11684,4.7,8401,3.4,1.4,11.8%,24.1%,12,15.7
"Howard County, MD",County,23333,7.5,16212,5.2,1.4,16.9%,37.7%,15.3,31.7
"Queen Anne County, MD",County,963,2,1864,3.8,0.5,2.0%,6.6%,5,6.4
"St. Marys County, MD",County,4764,4.3,6567,5.9,0.7,NA,6.4%,NA,10
"Somerset County, MD",County,-377,-1.5,676,2.6,-0.6,22.3%,38.4%,7.6,16.3
"Talbot County, MD",County,-179,-0.5,1320,3.5,-0.1,5.8%,2.2%,6.7,14.5
"Washington County, MD",County,-451,-0.3,2519,1.7,-0.2,13.3%,18.3%,3.9,8.4
"Wicomico County, MD",County,-1086,-1.1,2278,2.2,-0.5,22.8%,44.3%,7.8,16.5
"Worcester County, MD",County,869,1.7,1780,3.5,0.5,24.6%,28.0%,8.4,9.8
"Baltimore (Independent City), MD",County,4248,0.7,8728,1.4,0.5,49.2%,77.7%,18.6,63.5
"Barnstable County, MA",County,5873,2.7,5980,2.8,1,6.6%,22.5%,4.9,8.7
"Berkshire County, MA",County,-1252,-1,1660,1.3,-0.8,15.0%,30.6%,8.3,14.6
"Essex County, MA",County,26096,3.4,9882,1.3,2.6,28.1%,42.8%,7.5,6.6
"Franklin County, MA",County,28,0,666,0.9,0,5.5%,13.7%,2.7,2.8
"Hampden County, MA",County,10970,2.3,3062,0.7,3.6,17.7%,21.1%,3.1,3.8
"Hampshire County, MA",County,6673,4.1,2257,1.4,3,11.3%,17.2%,4.9,7.5
"Middlesex County, MA",County,99904,6.3,33169,2.1,3,27.3%,55.3%,8.5,14.4
"Norfolk County, MA",County,29435,4.2,14393,2.1,2,30.6%,58.3%,13,13.6
"Plymouth County, MA",County,18172,3.6,11298,2.2,1.6,10.5%,26.2%,7.2,8.2
"Suffolk County, MA",County,86936,11.1,27730,3.6,3.1,87.1%,97.9%,6.5,18.7
"Worcester County, MA",County,29788,3.6,13349,1.6,2.2,10.8%,18.6%,5,7.8
"Allegan County, MI",County,5038,4.4,2955,2.6,1.7,8.4%,2.8%,4,4.5
"Alpena County, MI",County,-321,-1.1,203,0.7,-1.6,3.1%,20.8%,3.7,7.6
"Barry County, MI",County,646,1.1,1269,2.1,0.5,1.6%,2.2%,4.7,2
"Bay County, MI",County,-2946,-2.8,804,0.8,-3.7,17.0%,23.5%,4.7,11.5
"Berrien County, MI",County,-922,-0.6,1974,1.3,-0.5,11.9%,11.7%,6.5,10.3
"Branch County, MI",County,687,1.6,301,0.7,2.3,17.0%,5.5%,7.6,4.3
"Calhoun County, MI",County,-925,-0.7,599,0.4,-1.5,24.0%,23.9%,13.3,17.4
"Chippewa County, MI",County,-795,-2.1,470,1.2,-1.7,14.0%,5.7%,21.9,6.5
"Clinton County, MI",County,1507,1.9,1726,2.2,0.9,24.1%,32.5%,8.2,10.6
"Delta County, MI",County,-431,-1.2,460,1.3,-0.9,9.2%,0.3%,14.8,2
"Dickinson County, MI",County,85,0.3,380,1.5,0.2,5.6%,11.7%,5.1,3.6
"Eaton County, MI",County,11810,10.9,1163,1.1,10.2,20.1%,10.0%,10,7
"Genesee County, MI",County,-1084,-0.3,2836,0.7,-0.4,22.3%,17.8%,9.3,9.7
"Grand Traverse County, MI",County,3642,4,3954,4.3,0.9,22.1%,20.3%,8.3,7.3
"Gratiot County, MI",County,-507,-1.2,198,0.5,-2.6,24.2%,0.0%,5.1,NA
"Hillsdale County, MI",County,389,0.8,597,1.3,0.7,8.2%,18.4%,7.8,20
"Houghton County, MI",County,-1310,-3.6,655,1.8,-2,3.4%,22.1%,4.8,10.4
"Ingham County, MI",County,-8181,-2.9,4805,1.7,-1.7,27.5%,49.0%,9.1,26.5
"Ionia County, MI",County,2909,4.5,562,0.9,5.2,16.1%,4.8%,10,4.5
"Isabella County, MI",County,-1371,-1.9,1071,1.5,-1.3,44.0%,43.2%,8.4,8.2
"Jackson County, MI",County,2353,1.5,1177,0.7,2,17.7%,20.7%,10,11.5
"Kalamazoo County, MI",County,5999,2.3,4726,1.8,1.3,25.2%,23.9%,7.3,6.6
"Kent County, MI",County,72415,11.4,15879,2.5,4.6,20.6%,29.0%,11,13.7
"Lapeer County, MI",County,1202,1.4,901,1,1.3,4.5%,1.3%,19.7,4
"Lenawee County, MI",County,-1718,-1.7,1040,1.1,-1.7,11.8%,3.1%,5.9,5.8
"Livingston County, MI",County,16175,8.7,5122,2.7,3.2,8.6%,10.5%,9.4,6.9
"Macomb County, MI",County,29629,3.4,15570,1.8,1.9,17.8%,21.6%,7.5,10
"Marquette County, MI",County,-1606,-2.4,1143,1.7,-1.4,16.2%,21.8%,6.2,5.8
"Mason County, MI",County,472,1.6,596,2.1,0.8,19.5%,15.2%,9.9,9.7
"Mecosta County, MI",County,1786,4.1,840,1.9,2.1,7.6%,28.3%,7.3,5.3
"Midland County, MI",County,1918,2.3,1559,1.9,1.2,13.9%,20.8%,4.6,3
"Monroe County, MI",County,329,0.2,2626,1.8,0.1,19.7%,23.0%,6.2,11.4
"Montcalm County, MI",County,1181,1.9,768,1.2,1.5,11.5%,3.2%,5.4,3
"Muskegon County, MI",County,994,0.6,1761,1,0.6,12.4%,8.2%,6.3,3.3
"Oakland County, MI",County,65348,5.3,22217,1.8,2.9,18.5%,16.5%,8.5,8.5
"Ottawa County, MI",County,19694,7,10626,3.8,1.9,24.1%,24.9%,5.5,10.1
"Saginaw County, MI",County,915,0.5,2398,1.2,0.4,19.1%,39.4%,4.2,4.6
"St. Clair County, MI",County,-3997,-2.5,1446,0.9,-2.8,7.3%,9.1%,4.6,9.3
"St. Joseph County, MI",County,3560,5.8,485,0.8,7.3,11.6%,3.9%,7.6,3.8
"Shiawassee County, MI",County,-848,-1.2,328,0.5,-2.6,8.3%,2.9%,9.4,4.3
"Van Buren County, MI",County,-1814,-2.4,955,1.3,-1.9,5.1%,8.9%,6.2,10.1
"Washtenaw County, MI",County,26387,7.3,5022,1.4,5.3,19.4%,22.1%,8.4,8.9
"Wayne County, MI",County,3610,0.2,12040,0.7,0.3,29.9%,33.2%,9.1,8.4
"Wexford County, MI",County,-348,-1.1,396,1.2,-0.9,9.8%,26.6%,5.7,9.9
"Anoka County, MN",County,11558,3.4,9537,2.8,1.2,8.1%,18.2%,10.7,26.5
"Beltrami County, MN",County,2132,4.7,1665,3.6,1.3,29.6%,50.3%,7.7,9.5
"Benton County, MN",County,1058,2.7,1228,3.1,0.9,14.8%,30.3%,22.7,19.4
"Blue Earth County, MN",County,3054,4.6,3522,5.4,0.9,26.4%,42.6%,6.7,13.6
"Brown County, MN",County,-31,-0.1,551,2.2,-0.1,25.4%,27.6%,9.1,14.1
"Carlton County, MN",County,134,0.4,823,2.3,0.2,12.3%,18.5%,6.7,6.5
"Carver County, MN",County,7407,7.5,5821,5.9,1.3,17.4%,16.1%,8.7,12.8
"Cass County, MN",County,889,3.1,1770,6.1,0.5,3.7%,4.6%,5.1,18.4
"Chisago County, MN",County,1329,2.4,1475,2.7,0.9,3.0%,3.2%,4.8,12.4
"Crow Wing County, MN",County,1295,2,3107,4.9,0.4,9.8%,12.5%,5.5,6.6
"Dakota County, MN",County,15188,3.7,12098,2.9,1.3,25.8%,29.9%,9,20.1
"Douglas County, MN",County,1277,3.5,1977,5.4,0.6,8.7%,25.3%,10.9,30.7
"Freeborn County, MN",County,-669,-2.2,413,1.3,-1.6,31.0%,32.7%,5,7.4
"Goodhue County, MN",County,55,0.1,759,1.6,0.1,15.2%,8.7%,5.9,17.3
"Hennepin County, MN",County,87981,7.2,43068,3.5,2,38.1%,63.5%,13.6,62.7
"Isanti County, MN",County,280,0.7,1383,3.6,0.2,9.2%,19.7%,10.7,13.4
"Kandiyohi County, MN",County,1577,3.7,950,2.2,1.7,20.1%,16.5%,3.9,3.6
"Le Sueur County, MN",County,744,2.7,520,1.9,1.4,12.5%,0.8%,5.5,2
"Lyon County, MN",County,-520,-2,434,1.7,-1.2,36.8%,36.8%,5.2,5.1
"McLeod County, MN",County,-1676,-4.7,553,1.5,-3,23.8%,22.6%,6.5,27
"Mille Lacs County, MN",County,-2,0,430,1.7,0,10.6%,7.3%,4.8,2.3
"Mower County, MN",County,21,0.1,385,1,0.1,24.6%,10.1%,6.4,32
"Nicollet County, MN",County,883,2.6,1033,3.1,0.9,35.3%,28.5%,6.5,5.8
"Olmsted County, MN",County,9503,6.3,8750,5.8,1.1,25.2%,45.7%,6.7,26.9
"Otter Tail County, MN",County,1029,1.8,1076,1.9,1,28.7%,41.8%,7.7,11.9
"Ramsey County, MN",County,2492,0.5,7345,1.4,0.3,46.7%,70.7%,9.7,45.1
"Rice County, MN",County,2133,3.3,1232,1.9,1.7,15.8%,15.6%,8.2,8.7
"St. Louis County, MN",County,1352,0.7,4180,2.1,0.3,16.4%,29.1%,6.8,8.5
"Scott County, MN",County,11000,7.8,6506,4.6,1.7,9.6%,18.4%,7.4,19.7
"Sherburne County, MN",County,2972,3.2,2595,2.8,1.1,5.5%,4.1%,6.7,21.9
"Stearns County, MN",County,5066,3.3,5291,3.4,1,23.7%,35.7%,10.4,16.7
"Steele County, MN",County,-416,-1.1,723,2,-0.6,17.3%,29.8%,6.8,11.9
"Washington County, MN",County,13557,5.4,9858,3.9,1.4,11.5%,24.8%,7.9,37.1
"Winona County, MN",County,-703,-1.4,947,1.9,-0.7,23.5%,37.4%,8.1,10.5
"Wright County, MN",County,7120,5.4,4973,3.8,1.4,8.3%,3.5%,6.7,10
"Adams County, MS",County,-1676,-5.3,102,0.3,-16.4,0.0%,0.0%,NA,NA
"Alcorn County, MS",County,1298,3.5,131,0.4,9.9,31.0%,20.0%,5.2,2.6
"Bolivar County, MS",County,-1120,-3.4,419,1.3,-2.7,21.3%,12.1%,3,9.7
"Copiah County, MS",County,-964,-3.4,44,0.2,-21.9,0.0%,0.0%,NA,NA
"Forrest County, MS",County,3880,5.1,1319,1.7,2.9,50.2%,60.0%,7.2,8.1
"Hancock County, MS",County,-344,-0.7,5039,10.9,-0.1,8.9%,26.1%,5,4.9
"Harrison County, MS",County,-691,-0.3,11916,5.9,-0.1,30.2%,33.7%,9.6,8.6
"Hinds County, MS",County,-7104,-2.9,2967,1.2,-2.4,30.0%,9.0%,8.5,11.2
"Jackson County, MS",County,-3124,-2.2,3878,2.7,-0.8,11.7%,20.1%,8.4,8.1
"Jones County, MS",County,-2565,-3.8,412,0.6,-6.2,22.5%,28.8%,9.3,5.3
"Lafayette County, MS",County,5908,11.2,3808,7.2,1.6,47.4%,44.5%,8.7,7.1
"Lamar County, MS",County,917,1.5,144,0.2,6.4,14.4%,0.0%,4.7,NA
